,Constrain,Graph,Prop_Correct,Network
627,3,0,0.33532143,Alexnet
628,3,0,0.3408791,VGG16
629,3,0,0.31552958,Resnet50
630,3,1,0.35709783,Alexnet
631,3,1,0.34028226,VGG16
632,3,1,0.3513143,Resnet50
633,3,1,0.35036463,Alexnet
634,3,1,0.3370626,VGG16
635,3,1,0.33793452,Resnet50
636,3,1,0.35435316,Alexnet
637,3,1,0.34261894,VGG16
638,3,1,0.34545568,Resnet50
639,3,1,0.35648316,Alexnet
640,3,1,0.3408391,VGG16
641,3,1,0.34515598,Resnet50
642,3,1,0.34993255,Alexnet
643,3,1,0.33993316,VGG16
644,3,1,0.34049585,Resnet50
645,3,1,0.35440156,Alexnet
646,3,1,0.34300268,VGG16
647,3,1,0.35006392,Resnet50
648,3,1,0.35365003,Alexnet
649,3,1,0.3426198,VGG16
650,3,1,0.34712815,Resnet50
651,3,1,0.34764642,Alexnet
652,3,1,0.34158117,VGG16
653,3,1,0.34287587,Resnet50
654,3,1,0.34949896,Alexnet
655,3,1,0.33876935,VGG16
656,3,1,0.34217635,Resnet50
657,3,1,0.35454226,Alexnet
658,3,1,0.34376967,VGG16
659,3,1,0.3463673,Resnet50
660,3,2,0.34160918,Alexnet
661,3,2,0.33624494,VGG16
662,3,2,0.3423872,Resnet50
663,3,2,0.34437904,Alexnet
664,3,2,0.336979,VGG16
665,3,2,0.3501796,Resnet50
666,3,2,0.3439526,Alexnet
667,3,2,0.3303485,VGG16
668,3,2,0.35293356,Resnet50
669,3,2,0.34536552,Alexnet
670,3,2,0.33925933,VGG16
671,3,2,0.35177442,Resnet50
672,3,2,0.34233308,Alexnet
673,3,2,0.33474553,VGG16
674,3,2,0.3391487,Resnet50
675,3,2,0.34313923,Alexnet
676,3,2,0.33544755,VGG16
677,3,2,0.33953485,Resnet50
678,3,2,0.34176898,Alexnet
679,3,2,0.3365624,VGG16
680,3,2,0.33720967,Resnet50
681,3,2,0.34782374,Alexnet
682,3,2,0.33492082,VGG16
683,3,2,0.3436719,Resnet50
684,3,2,0.34670797,Alexnet
685,3,2,0.33697549,VGG16
686,3,2,0.3508134,Resnet50
687,3,2,0.34752703,Alexnet
688,3,2,0.33383358,VGG16
689,3,2,0.3518146,Resnet50
690,3,3,0.34304062,Alexnet
691,3,3,0.33958402,VGG16
692,3,3,0.34295562,Resnet50
693,3,3,0.3442626,Alexnet
694,3,3,0.33828607,VGG16
695,3,3,0.3449322,Resnet50
696,3,3,0.3417031,Alexnet
697,3,3,0.33614573,VGG16
698,3,3,0.34336746,Resnet50
699,3,3,0.3427734,Alexnet
700,3,3,0.33764043,VGG16
701,3,3,0.3453719,Resnet50
702,3,3,0.34346586,Alexnet
703,3,3,0.3387497,VGG16
704,3,3,0.3434432,Resnet50
705,3,3,0.3456724,Alexnet
706,3,3,0.3385475,VGG16
707,3,3,0.3422501,Resnet50
